,ttf,avg_ratio
1405,AAPL_5Minute_5Day,7_21_8
1093,AAPL_30Minute_1Month,9_24_11
324,AAPL_1Hour_3Month,7_17_9
935,AAPL_2Hour_6Month,8_28_9
21,AAPL_1Day_1Year,9_22_10
34620,MCD_1Minute_1Day,7_20_9
35427,MCD_5Minute_5Day,7_21_8
35100,MCD_30Minute_1Month,9_16_11
34344,MCD_1Hour_3Month,7_17_9
34884,MCD_2Hour_6Month,7_17_9
34074,MCD_1Day_1Year,7_19_9
29754,HUT_1Minute_1Day,7_19_9
30564,HUT_5Minute_5Day,7_18_9
30336,HUT_30Minute_1Month,7_26_11
29484,HUT_1Hour_3Month,7_20_9
30027,HUT_2Hour_6Month,7_20_8
29214,HUT_1Day_1Year,7_17_9
36234,META_1Minute_1Day,7_19_8
37046,META_5Minute_5Day,7_17_9
36741,META_30Minute_1Month,8_25_9
35964,META_1Hour_3Month,7_18_9
36504,META_2Hour_6Month,7_20_10
35694,META_1Day_1Year,7_18_9
10314,AMZN_1Minute_1Day,7_18_9
11127,AMZN_5Minute_5Day,7_23_9
10800,AMZN_30Minute_1Month,9_26_11
10081,AMZN_1Hour_3Month,8_24_11
10530,AMZN_2Hour_6Month,8_17_9
9774,AMZN_1Day_1Year,7_20_9
